MSE,objective,max_depth,learning_rate,colsample_bytree,n_estimators,Nodes NO
1320.0297822033626,reg:squarederror,6,0.18,1.0,800,48721
1320.3198177685297,reg:squarederror,6,0.18,0.8,800,48816
1322.8636152217075,reg:squarederror,6,0.19,0.9,800,48691
1322.910952842302,reg:squarederror,6,0.19,1.0,800,48675
1324.3713109461487,reg:squarederror,6,0.18,0.9,800,48841
1325.3789312094475,reg:squarederror,6,0.19,0.8,800,48976
1325.718402949834,reg:squarederror,6,0.18,1.0,700,42616
1325.9025317502255,reg:squarederror,6,0.18,0.8,700,42746
1326.5908942617075,reg:squarederror,6,0.19,1.0,700,42605
1328.036956947526,reg:squarederror,6,0.19,0.9,700,42667
1330.0130813009575,reg:squarederror,6,0.18,0.9,700,42766
1332.0765697546547,reg:squarederror,6,0.19,0.8,700,42916
1332.8962864524717,reg:squarederror,6,0.18,1.0,600,36581
1335.1702328492202,reg:squarederror,6,0.19,1.0,600,36611
1336.2376481022725,reg:squarederror,6,0.18,0.8,600,36763
1336.7741900252968,reg:squarederror,6,0.18,0.9,600,36793
1336.8600289814012,reg:squarederror,7,0.18,0.8,800,94082
1336.8606192987497,reg:squarederror,6,0.19,0.9,600,36688
1338.1884275894727,reg:squarederror,7,0.18,0.8,700,82434
1339.298285754615,reg:squarederror,7,0.19,0.9,700,83208
1339.8929762881492,reg:squarederror,7,0.18,0.8,600,70818
1340.2499172988414,reg:squarederror,7,0.19,0.9,800,94832
1340.6258454985916,reg:squarederror,7,0.19,0.9,600,71398
1340.9270072435736,reg:squarederror,7,0.18,1.0,600,71092
1341.7410011998177,reg:squarederror,7,0.18,0.9,800,94333
1341.7746681418969,reg:squarederror,6,0.19,0.8,600,36838
1341.904005990937,reg:squarederror,7,0.19,0.8,700,83219
1342.2690234646666,reg:squarederror,7,0.18,0.8,500,59302
1342.3216087505873,reg:squarederror,7,0.19,0.8,800,94938
1342.5339166191925,reg:squarederror,7,0.18,1.0,700,82783
1342.7630212910497,reg:squarederror,7,0.18,0.9,700,82900
1342.9015710486067,reg:squarederror,7,0.19,0.8,600,71527
1342.903100714708,reg:squarederror,7,0.18,1.0,800,94478
1343.7032357049677,reg:squarederror,7,0.18,0.9,600,71301
1344.5239349715514,reg:squarederror,7,0.19,0.8,500,59898
1344.6815638043115,reg:squarederror,7,0.19,0.9,500,59716
1346.0067932240852,reg:squarederror,7,0.18,1.0,500,59426
1349.094380702262,reg:squarederror,6,0.18,1.0,500,30519
1349.1936637062972,reg:squarederror,7,0.19,1.0,600,70960
1349.8288722754587,reg:squarederror,7,0.18,0.9,500,59655
1350.3443151147185,reg:squarederror,6,0.19,1.0,500,30520
1350.3764731723365,reg:squarederror,7,0.19,1.0,700,82534
1351.7911469985884,reg:squarederror,6,0.18,0.9,500,30747
1351.8629105810687,reg:squarederror,6,0.19,0.9,500,30741
1351.889044729648,reg:squarederror,7,0.19,1.0,800,94160
1351.8908424321128,reg:squarederror,7,0.19,1.0,500,59262
1352.4761014183414,reg:squarederror,6,0.18,0.8,500,30753
1356.7184789721396,reg:squarederror,6,0.19,0.8,500,30775
