MSE,objective,max_depth,learning_rate,colsample_bytree,n_estimators,Nodes NO
1391.4560872324475,reg:squarederror,6,0.18,1.0,800,48536
1394.8954233009133,reg:squarederror,6,0.18,0.8,800,48571
1398.4663658116322,reg:squarederror,7,0.18,0.8,800,94384
1398.505270703235,reg:squarederror,6,0.18,0.9,800,48497
1399.9721791221646,reg:squarederror,6,0.19,0.9,800,48611
1400.173207160139,reg:squarederror,7,0.18,0.8,700,82705
1401.8429658510574,reg:squarederror,6,0.19,0.8,800,48678
1402.992198618978,reg:squarederror,7,0.18,0.8,600,71143
1403.1685391815909,reg:squarederror,6,0.18,1.0,700,42542
1403.1967615489207,reg:squarederror,6,0.18,0.8,700,42625
1403.8630386867267,reg:squarederror,7,0.18,1.0,800,94369
1404.4500839261793,reg:squarederror,6,0.19,1.0,800,48570
1406.4974239015721,reg:squarederror,7,0.19,0.8,800,94414
1406.5264865044746,reg:squarederror,6,0.18,0.9,700,42494
1406.96999402194,reg:squarederror,7,0.18,1.0,700,82709
1407.1366423562372,reg:squarederror,7,0.19,0.8,700,82684
1407.4550911229326,reg:squarederror,6,0.19,0.9,700,42627
1409.0441743137533,reg:squarederror,7,0.19,0.9,800,94013
1409.4636583862446,reg:squarederror,7,0.19,0.8,600,71048
1410.0670086047803,reg:squarederror,7,0.19,0.9,700,82588
1410.529463731386,reg:squarederror,6,0.19,0.8,700,42681
1412.0827856270455,reg:squarederror,7,0.18,1.0,600,70952
1412.3524189064808,reg:squarederror,7,0.18,0.9,800,94189
1413.2478796695111,reg:squarederror,7,0.18,0.8,500,59739
1413.7275420689255,reg:squarederror,6,0.19,1.0,700,42504
1414.0559013531542,reg:squarederror,7,0.19,0.9,600,71204
1414.6947660347605,reg:squarederror,7,0.18,0.9,700,82516
1417.3304011367418,reg:squarederror,7,0.19,0.8,500,59520
1417.4439615546664,reg:squarederror,6,0.18,0.8,600,36634
1417.7874591309442,reg:squarederror,6,0.18,1.0,600,36519
1418.6724744893813,reg:squarederror,7,0.18,0.9,600,71047
1420.1036255601473,reg:squarederror,7,0.18,1.0,500,59326
1420.1045002392905,reg:squarederror,6,0.19,0.9,600,36571
1421.6824403799121,reg:squarederror,7,0.19,0.9,500,59578
1422.0058516767608,reg:squarederror,6,0.18,0.9,600,36456
1425.1762934522376,reg:squarederror,6,0.19,0.8,600,36700
1425.7495130782581,reg:squarederror,7,0.18,0.9,500,59402
1426.9526377147986,reg:squarederror,7,0.19,1.0,700,82326
1427.1188261987675,reg:squarederror,7,0.19,1.0,800,94076
1428.2325593203989,reg:squarederror,6,0.19,1.0,600,36507
1432.820147088475,reg:squarederror,7,0.19,1.0,600,70671
1437.781559857332,reg:squarederror,6,0.19,0.9,500,30567
1437.8092830716855,reg:squarederror,6,0.18,1.0,500,30575
1439.2436152113078,reg:squarederror,7,0.19,1.0,500,59117
1441.6892718143827,reg:squarederror,6,0.18,0.8,500,30589
1441.7160846701554,reg:squarederror,6,0.18,0.9,500,30482
1442.9983345362589,reg:squarederror,6,0.19,0.8,500,30711
1450.922618078959,reg:squarederror,6,0.19,1.0,500,30380
