MSE,objective,max_depth,learning_rate,colsample_bytree,n_estimators,Nodes NO
2892.6793943878174,reg:squarederror,7,0.18,0.9,800,93274
2897.641006090808,reg:squarederror,7,0.18,0.8,800,93188
2903.3457548451743,reg:squarederror,7,0.19,0.9,800,93277
2905.5653293602945,reg:squarederror,7,0.18,0.9,700,81843
2909.2833767065745,reg:squarederror,7,0.18,0.8,700,81474
2910.0254080212817,reg:squarederror,7,0.18,1.0,800,93415
2913.7776404341153,reg:squarederror,7,0.19,0.8,800,93553
2916.102536349795,reg:squarederror,7,0.19,0.9,700,81629
2919.2756440088774,reg:squarederror,7,0.18,0.9,600,70328
2920.975817103469,reg:squarederror,7,0.18,1.0,700,81835
2921.8532113859123,reg:squarederror,7,0.19,0.8,700,81893
2922.3754164122192,reg:squarederror,6,0.19,0.9,800,48131
2923.196642548569,reg:squarederror,7,0.18,0.8,600,69961
2923.61263711588,reg:squarederror,7,0.19,1.0,800,92735
2923.7440808985443,reg:squarederror,6,0.18,1.0,800,48416
2924.639774801562,reg:squarederror,6,0.19,0.8,800,48519
2926.8771055312263,reg:squarederror,7,0.19,0.9,600,69956
2930.2845687014888,reg:squarederror,7,0.19,1.0,700,81213
2932.272588112582,reg:squarederror,6,0.18,0.9,800,48344
2933.115821139649,reg:squarederror,6,0.19,1.0,800,48313
2936.582625034025,reg:squarederror,7,0.19,0.8,600,70378
2936.720923135743,reg:squarederror,7,0.18,1.0,600,70185
2937.1930780992707,reg:squarederror,7,0.18,0.9,500,58966
2937.3296805283444,reg:squarederror,6,0.18,0.8,800,48455
2942.61727954702,reg:squarederror,6,0.19,0.9,700,42145
2944.642901622157,reg:squarederror,7,0.19,1.0,600,69619
2947.2403188269977,reg:squarederror,6,0.19,0.8,700,42494
2948.0739963150763,reg:squarederror,7,0.18,0.8,500,58444
2949.9917351487848,reg:squarederror,7,0.19,0.9,500,58399
2950.1599428663253,reg:squarederror,6,0.18,0.9,700,42412
2951.01122626997,reg:squarederror,6,0.18,1.0,700,42373
2952.444467431396,reg:squarederror,7,0.18,1.0,500,58696
2953.4958307327197,reg:squarederror,6,0.19,1.0,700,42315
2954.1127730244257,reg:squarederror,6,0.18,0.8,700,42501
2957.574340501829,reg:squarederror,7,0.19,0.8,500,58863
2968.084819753481,reg:squarederror,7,0.19,1.0,500,58239
2970.0011042736924,reg:squarederror,6,0.19,0.9,600,36168
2972.272426278633,reg:squarederror,6,0.18,0.9,600,36472
2977.9197546164064,reg:squarederror,6,0.19,0.8,600,36525
2979.9843146435596,reg:squarederror,6,0.18,1.0,600,36399
2980.5483081668035,reg:squarederror,6,0.18,0.8,600,36518
2984.083036424968,reg:squarederror,6,0.19,1.0,600,36365
3012.089461925624,reg:squarederror,6,0.19,0.9,500,30224
3015.4032652518595,reg:squarederror,6,0.19,0.8,500,30491
3015.7206974569704,reg:squarederror,6,0.18,0.9,500,30455
3016.784788972662,reg:squarederror,6,0.18,0.8,500,30536
3018.629706468954,reg:squarederror,6,0.19,1.0,500,30427
3024.599788072508,reg:squarederror,6,0.18,1.0,500,30454
