MSE,objective,max_depth,learning_rate,colsample_bytree,n_estimators,Nodes NO
8885.947316904048,reg:squarederror,6,0.18,0.8,600,36019
8887.299902241202,reg:squarederror,6,0.18,0.8,700,42106
8891.007719768028,reg:squarederror,6,0.18,0.8,500,30031
8892.86861533519,reg:squarederror,6,0.18,0.8,800,48131
8920.102867029194,reg:squarederror,6,0.19,0.8,700,42046
8920.971214362173,reg:squarederror,6,0.18,0.9,700,42141
8922.502803437503,reg:squarederror,6,0.18,0.9,600,36073
8929.499214374968,reg:squarederror,6,0.19,0.8,600,35973
8933.966574108203,reg:squarederror,6,0.19,0.8,800,48135
8934.11988086492,reg:squarederror,6,0.18,0.9,800,48175
8934.501384233257,reg:squarederror,7,0.18,0.9,500,57511
8934.72802340824,reg:squarederror,6,0.18,0.9,500,30025
8939.44288672139,reg:squarederror,6,0.18,1.0,600,36075
8940.153934789367,reg:squarederror,6,0.18,1.0,800,48240
8940.252285980614,reg:squarederror,6,0.19,0.9,700,41910
8942.542073218417,reg:squarederror,6,0.18,1.0,700,42155
8942.772149801569,reg:squarederror,6,0.19,0.8,500,29959
8943.71707904973,reg:squarederror,7,0.18,0.9,600,69181
8949.83871192655,reg:squarederror,6,0.19,0.9,800,47824
8951.373577821016,reg:squarederror,7,0.18,0.8,500,57703
8953.980973767475,reg:squarederror,7,0.18,0.9,700,80954
8957.726178085933,reg:squarederror,6,0.19,0.9,600,35858
8961.56016899412,reg:squarederror,7,0.18,0.8,600,69389
8965.331154339192,reg:squarederror,7,0.18,0.9,800,92900
8965.827872862326,reg:squarederror,7,0.18,0.8,700,81003
8966.762813516025,reg:squarederror,6,0.19,1.0,800,48106
8968.088149630854,reg:squarederror,6,0.19,1.0,700,42018
8971.234783043386,reg:squarederror,6,0.19,1.0,600,35953
8971.353832060198,reg:squarederror,6,0.19,0.9,500,29861
8971.559368127892,reg:squarederror,7,0.18,1.0,500,57436
8973.34843126077,reg:squarederror,6,0.18,1.0,500,30036
8979.411747755985,reg:squarederror,7,0.19,1.0,500,57653
8980.669184891129,reg:squarederror,6,0.19,1.0,500,29941
8984.211103538173,reg:squarederror,7,0.18,1.0,600,69243
8986.05378657597,reg:squarederror,7,0.18,0.8,800,92635
8993.498447613842,reg:squarederror,7,0.19,1.0,600,69367
9006.257249427137,reg:squarederror,7,0.18,1.0,700,81033
9008.948555448791,reg:squarederror,7,0.19,1.0,700,81126
9011.127903408318,reg:squarederror,7,0.19,0.8,500,58081
9015.120395737778,reg:squarederror,7,0.19,0.9,500,58090
9029.211397818775,reg:squarederror,7,0.19,0.8,600,69707
9035.658309214612,reg:squarederror,7,0.18,1.0,800,92923
9041.999563131445,reg:squarederror,7,0.19,1.0,800,93095
9042.568478762409,reg:squarederror,7,0.19,0.9,600,69430
9050.526426062632,reg:squarederror,7,0.19,0.9,700,81324
9052.155423818756,reg:squarederror,7,0.19,0.8,700,81557
9062.236065505533,reg:squarederror,7,0.19,0.8,800,93421
9070.769227907786,reg:squarederror,7,0.19,0.9,800,93066
