MSE,objective,max_depth,learning_rate,subsample,colsample_bytree,n_estimators,Nodes NO
3581.2040915500966,reg:squarederror,7,0.18,1.0,0.9,700,81295
3587.733536143111,reg:squarederror,7,0.18,1.0,0.8,700,81958
3588.6216846050565,reg:squarederror,7,0.19,1.0,0.8,700,81747
3590.757048301007,reg:squarederror,7,0.18,1.0,1.0,700,81555
3593.192901415407,reg:squarederror,7,0.18,1.0,0.9,600,69912
3593.8273562448626,reg:squarederror,7,0.19,1.0,0.9,700,81485
3597.6450398047255,reg:squarederror,7,0.19,1.0,0.8,600,70173
3599.907650848838,reg:squarederror,7,0.18,1.0,0.8,600,70248
3600.7851567337584,reg:squarederror,7,0.19,1.0,1.0,700,82022
3600.805469957243,reg:squarederror,7,0.18,0.9,0.8,700,82605
3603.241088307753,reg:squarederror,7,0.19,1.0,0.9,600,70027
3604.7542042239497,reg:squarederror,7,0.18,1.0,1.0,600,69939
3606.3511313044537,reg:squarederror,7,0.18,0.9,0.9,700,82241
3610.746577630845,reg:squarederror,7,0.18,0.9,0.8,600,70814
3610.871689114269,reg:squarederror,7,0.19,1.0,1.0,600,70228
3611.5627189689935,reg:squarederror,7,0.18,1.0,0.9,500,58232
3612.615802346794,reg:squarederror,7,0.19,0.9,0.8,700,82551
3613.1382970696727,reg:squarederror,7,0.19,1.0,0.8,500,58639
3617.0432241240505,reg:squarederror,7,0.18,1.0,0.8,500,58687
3618.3845462828167,reg:squarederror,7,0.18,0.9,0.9,600,70466
3619.0535683360395,reg:squarederror,7,0.19,1.0,0.9,500,58423
3619.21403382633,reg:squarederror,7,0.19,0.9,0.8,600,70751
3619.218143496552,reg:squarederror,6,0.19,1.0,0.8,700,42465
3619.278927907503,reg:squarederror,7,0.19,0.9,1.0,700,81877
3619.6755969791716,reg:squarederror,7,0.18,0.9,1.0,700,82183
3621.0539867791963,reg:squarederror,7,0.19,0.9,0.9,700,82202
3621.632068736836,reg:squarederror,7,0.18,1.0,1.0,500,58550
3621.8157468167506,reg:squarederror,7,0.18,0.8,1.0,700,82313
3622.2836797186133,reg:squarederror,6,0.19,1.0,0.9,700,42495
3622.5969151413674,reg:squarederror,7,0.18,0.8,0.8,700,81733
3623.43557437457,reg:squarederror,6,0.18,1.0,0.9,700,42392
3625.4493481554637,reg:squarederror,6,0.18,1.0,1.0,700,42317
3626.6570338605034,reg:squarederror,6,0.19,1.0,1.0,700,42237
3627.42098965086,reg:squarederror,7,0.19,0.9,1.0,600,70171
3627.428797978334,reg:squarederror,7,0.18,0.9,0.8,500,59190
3627.588301395742,reg:squarederror,7,0.19,0.8,0.8,700,82395
3627.960371108671,reg:squarederror,6,0.19,0.9,0.9,700,42370
3628.4147444766836,reg:squarederror,7,0.19,1.0,1.0,500,58581
3628.9182365364513,reg:squarederror,7,0.18,0.8,0.8,600,70056
3629.1261095322934,reg:squarederror,7,0.18,0.8,1.0,600,70465
3629.579359196998,reg:squarederror,7,0.19,0.8,0.9,700,82149
3630.433922338765,reg:squarederror,7,0.18,0.9,1.0,600,70474
3630.760929246125,reg:squarederror,7,0.18,0.9,0.9,500,58688
3631.0059533759227,reg:squarederror,7,0.18,0.8,0.9,700,81946
3632.1700125951024,reg:squarederror,7,0.19,0.9,0.8,500,58969
3632.2469031410064,reg:squarederror,7,0.19,0.9,0.9,600,70385
3632.7910423150433,reg:squarederror,7,0.19,0.8,0.8,600,70419
3632.923571224289,reg:squarederror,6,0.18,1.0,0.8,700,42733
3635.192406588201,reg:squarederror,7,0.18,0.8,0.9,600,70171
